PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Quantity,Discount Amount,Tax Pct,Tax Amount,Currency,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-00001,09/05/2024,2024,Q2,May,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-24464,Steel Sheet (kg),Raw Materials,Steel Sheet (kg),KG,41,0.0,5,13.43,GBP,7.7,01/07/2024,28/06/2024,-3,Yes,50,IT,CC-002,Bob Smith,Priya Sharma,CON-5333,Framework,17/09/2023,15/09/2025,Disputed,Paid,3-Way Match,No,No,Yes,International,41.6
PO-00002,11/01/2024,2024,Q1,January,Standard,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-76104,ERP License,IT Software,ERP License,EA,198,0.0,0,0.0,USD,17.8,09/02/2024,06/02/2024,-3,Yes,26,Procurement,CC-006,Frank Brown,Tom Reynolds,CON-4432,Spot,17/01/2023,14/06/2025,Overdue,Overdue,2-Way Match,No,No,No,Local,67.8
PO-00003,17/02/2024,2024,Q1,February,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,197,3620.27,0,0.0,USD,21.4,18/03/2024,15/03/2024,-3,Yes,27,Sales,CC-010,Jack Harris,Priya Sharma,NO-CONTRACT,Spot,17/02/2024,18/03/2024,Overdue,Pending,2-Way Match,No,No,No,International,75.7
PO-00004,23/06/2023,2023,Q2,June,Blanket,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,36,0.0,0,0.0,USD,-6.6,07/07/2023,13/07/2023,6,No,20,Legal,CC-007,Grace Taylor,Lisa Chen,NO-CONTRACT,Spot,23/06/2023,23/07/2023,Disputed,Paid,2-Way Match,No,No,No,International,89.1
PO-00005,24/01/2022,2022,Q1,January,Emergency,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,88,0.0,5,145.46,GBP,5.3,16/03/2022,25/03/2022,9,No,60,Operations,CC-003,Maya Hall,Tom Reynolds,CON-2743,Spot,03/03/2021,31/01/2023,Pending,Overdue,No Match,No,No,Yes,International,41.4
PO-00006,22/12/2024,2024,Q4,December,Contract,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-34514,Packaging Material,Logistics,Packaging Material,Box,93,200.51,5,90.23,GBP,16.3,01/02/2025,04/02/2025,3,No,44,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-9727,Master Supply,18/10/2024,20/02/2027,Paid,Paid,3-Way Match,No,No,Yes,International,41.6
PO-00007,10/03/2023,2023,Q1,March,Contract,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,172,0.0,5,1889.42,GBP,18.5,30/03/2023,26/03/2023,-4,Yes,16,Sales,CC-010,Jack Harris,Lisa Chen,NO-CONTRACT,Spot,10/03/2023,09/04/2023,Paid,Pending,No Match,No,No,No,International,41.5
PO-00008,08/11/2023,2023,Q4,November,Standard,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,34,0.0,20,7.07,GBP,-4.0,13/12/2023,11/12/2023,-2,Yes,33,Finance,CC-001,Karen Clark,James O'Brien,CON-7735,Long-term,12/10/2023,27/02/2026,Pending,On Hold,No Match,No,No,Yes,International,52.3
PO-00009,12/08/2022,2022,Q3,August,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,47,0.0,0,0.0,GBP,18.1,07/10/2022,06/10/2022,-1,Yes,55,Facilities,CC-009,Isla White,Sarah Mitchell,CON-4872,Master Supply,16/01/2022,24/11/2023,Overdue,On Hold,3-Way Match,No,No,Yes,International,52.3
PO-00010,10/03/2024,2024,Q1,March,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,188,254847.35,20,288826.99,GBP,-7.5,27/03/2024,03/04/2024,7,No,24,Sales,CC-010,Jack Harris,Lisa Chen,NO-CONTRACT,Spot,10/03/2024,09/04/2024,Paid,Paid,3-Way Match,No,No,No,International,41.5
PO-00011,27/04/2022,2022,Q2,April,Contract,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-67289,A4 Paper (Ream),Office Supplies,A4 Paper (Ream),Box,173,232.69,5,221.05,JPY,9.3,17/05/2022,16/05/2022,-1,Yes,19,IT,CC-002,Bob Smith,James O'Brien,CON-9565,Spot,15/12/2021,08/01/2023,Pending,Overdue,2-Way Match,No,No,Yes,International,41.4
PO-00012,25/07/2024,2024,Q3,July,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-76104,ERP License,IT Software,ERP License,EA,145,557296.99,0,0.0,EUR,25.7,07/08/2024,04/08/2024,-3,Yes,10,Marketing,CC-004,David Lee,Priya Sharma,NO-CONTRACT,Spot,25/07/2024,24/08/2024,Paid,Paid,2-Way Match,No,No,No,International,41.5
PO-00013,19/12/2024,2024,Q4,December,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,27,102.47,0,0.0,JPY,16.7,09/02/2025,08/02/2025,-1,Yes,51,Sales,CC-010,Jack Harris,Tom Reynolds,CON-4335,Spot,05/04/2024,14/02/2026,Overdue,Paid,2-Way Match,No,No,No,International,50.9
PO-00014,01/04/2022,2022,Q2,April,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,114,0.0,5,612.58,GBP,13.0,20/05/2022,16/05/2022,-4,Yes,45,Procurement,CC-006,Frank Brown,Lisa Chen,CON-8041,Master Supply,11/03/2022,19/07/2023,Disputed,On Hold,3-Way Match,No,Yes,No,International,41.5
PO-00015,27/05/2023,2023,Q2,May,Emergency,Open,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,192,0.0,0,0.0,AUD,18.0,22/07/2023,18/07/2023,-4,Yes,52,Operations,CC-003,Clara Davies,Priya Sharma,CON-7745,Master Supply,11/01/2023,20/12/2023,Pending,On Hold,2-Way Match,No,No,Yes,International,77.2
PO-00016,31/07/2024,2024,Q3,July,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-15118,Safety Equipment,Facilities,Safety Equipment,Box,50,0.0,5,133.88,AUD,18.0,22/08/2024,19/08/2024,-3,Yes,19,Finance,CC-001,Karen Clark,Lisa Chen,NO-CONTRACT,Spot,31/07/2024,30/08/2024,Overdue,Paid,No Match,No,No,No,International,50.9
PO-00017,20/03/2022,2022,Q1,March,Standard,Open,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,131,0.0,20,302.61,GBP,6.0,21/04/2022,08/05/2022,17,No,49,Facilities,CC-009,Isla White,Tom Reynolds,CON-2146,Spot,05/05/2021,18/09/2022,Pending,Overdue,2-Way Match,No,No,No,International,89.1
PO-00018,31/10/2023,2023,Q4,October,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,171,2745.75,20,4942.34,GBP,24.5,11/12/2023,08/12/2023,-3,Yes,38,Finance,CC-001,Alice Johnson,Priya Sharma,NO-CONTRACT,Spot,31/10/2023,30/11/2023,Pending,Pending,3-Way Match,No,No,No,International,80.5
